Category,Video,Eye Contact %
Best,vidTrimmed10.mp4,79.12297426
Best,vidTrimmed11.mp4,83.94502701
Best,vidTrimmed12.mp4,27.11904762
Best,vidTrimmed13.mp4,85.73015873
Best,vidTrimmed14.mp4,72.75182714
Best,vidTrimmed8.mp4,74.14998411
Best,vidTrimmed9.mp4,65.37178265
Worst,vidTrimmed10.mp4,96.87773099
Worst,vidTrimmed11.mp4,50.92945663
Worst,vidTrimmed12.mp4,71.02796314
Worst,vidTrimmed13.mp4,60.30784508
Worst,vidTrimmed14.mp4,40.84842707
Worst,vidTrimmed8.mp4,51.83508103
Worst,vidTrimmed9.mp4,74.245313
